MODEL_NAME qel_rfg_rpa
pL from  3.5  to  4.5  4.6625e-47  1.43864e-46  2.18626e-46  2.40049e-46  1.71598e-46  4.41029e-47  7.67174e-49  0  
pL from  4.5  to  5.5  1.55545e-47  4.79484e-47  7.3035e-47  8.31425e-47  6.17192e-47  1.84505e-47  3.73998e-49  0  
pL from  5.5  to  7.5  7.39364e-48  2.23056e-47  3.42352e-47  3.97013e-47  3.16555e-47  1.02897e-47  2.54127e-49  0  
pL from  7.5  to  10  4.18877e-48  1.27351e-47  1.98468e-47  2.31226e-47  1.88993e-47  6.49413e-48  1.41927e-49  0  
pL from  10  to  30  8.86086e-49  2.86731e-48  4.55893e-48  5.1813e-48  4.32303e-48  1.51565e-48  4.12356e-50  0  
MODEL_NAME DIS
pL from  0  to  1.5  5.42768e-48  3.9803e-47  1.00412e-46  1.47271e-46  1.46366e-46  5.87999e-47  5.20153e-48  0  
pL from  1.5  to  2.5  1.08554e-48  6.7846e-48  3.01236e-47  6.32325e-47  8.61644e-47  7.01528e-47  1.52653e-47  1.22123e-49  
pL from  2.5  to  3.5  0  5.97045e-48  1.46547e-47  2.25249e-47  3.46015e-47  3.28375e-47  1.58081e-47  2.71384e-49  
pL from  3.5  to  4.5  0  1.35692e-48  5.69906e-48  1.13981e-47  1.11267e-47  1.51975e-47  9.97336e-48  5.97045e-49  
pL from  4.5  to  5.5  2.71384e-49  1.08554e-48  2.98522e-48  5.69906e-48  8.14152e-48  1.12624e-47  8.4129e-48  8.14152e-49  
pL from  5.5  to  7.5  0  6.7846e-49  1.6283e-48  3.93507e-48  5.35983e-48  7.6666e-48  6.03829e-48  7.39521e-49  
pL from  7.5  to  10  0  4.34214e-49  6.51322e-49  1.6283e-48  3.25661e-48  3.79938e-48  3.98934e-48  6.56749e-49  
pL from  10  to  30  1.35692e-50  4.07076e-50  2.57815e-49  5.1563e-49  7.05598e-49  9.02352e-49  9.93944e-49  2.40853e-49  
